행정구역,인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 북구 대현동(2723064500),"18,208","18,208","1,170","1,175","2,891","2,126","2,611","2,890","2,693","1,732",814,105,1
대구광역시 북구 복현1동(2723067100),"7,595","7,595",182,351,"2,369","1,012",798,"1,179","1,004",483,196,21,0
대구광역시 북구 복현2동(2723067200),"28,738","28,738","2,261","3,026","4,139","3,601","4,640","5,066","3,661","1,564",674,104,2
대구광역시 북구 검단동(2723068000),"6,666","6,666",312,419,736,809,891,"1,200","1,273",697,303,25,1
대구광역시 북구 무태조야동(2723069500),"36,661","36,661","3,513","3,930","4,251","4,824","6,979","6,239","4,155","1,971",703,95,1
대구광역시 북구 관문동(2723071500),"37,172","37,172","4,512","3,156","3,916","6,346","6,441","5,887","4,258","1,892",677,86,1
대구광역시 북구 태전1동(2723072500),"22,189","22,189","1,331","1,740","3,800","2,617","3,116","4,166","3,108","1,518",713,79,1
대구광역시 북구 태전2동(2723073500),"24,937","24,937","1,620","2,475","3,692","2,746","3,959","4,721","3,341","1,659",640,82,2
대구광역시 북구 구암동(2723074500),"36,275","36,275","2,662","4,994","5,389","3,454","6,739","7,199","3,366","1,629",750,91,2
대구광역시 북구 관음동(2723075000),"16,962","16,962",929,"1,597","2,420","1,618","2,501","3,492","2,636","1,133",585,48,3
대구광역시 북구 읍내동(2723077000),"26,756","26,756","1,665","2,452","4,299","3,038","3,741","5,450","3,627","1,581",820,80,3
대구광역시 북구 동천동(2723078000),"28,949","28,949","2,307","4,413","4,150","2,837","5,978","5,464","2,015","1,133",611,39,2
대구광역시 북구 노원동(2723079000),"11,874","11,874",622,625,"1,355","1,546","1,599","2,317","2,176","1,230",365,39,0
대구광역시 북구 국우동(2723080000),"23,983","23,983","2,182","3,128","3,485","2,791","4,638","4,199","1,885","1,087",524,62,2
대구광역시 수성구 (2726000000),"421,079","421,079","29,755","51,015","54,778","42,296","72,040","74,465","52,110","28,727","14,027","1,830",36
대구광역시 수성구 범어1동(2726051000),"16,113","16,113","1,321","2,086","2,048","1,600","2,855","2,805","1,725","1,082",538,51,2
대구광역시 수성구 범어2동(2726052000),"15,871","15,871","1,124","1,807","2,315","2,062","2,678","2,636","1,806",972,429,41,1
